Region,Place,Latitude,Longitude,Temple,Dynasty,Azimuth,Horizon Altitude,Horizon Confidence,Declination,Comments
Lower Egypt,ZUR,31.4,27.017,Ramses II,19th,133,1,,-35.25,In the fort of Zawiyet
Lower Egypt,ZUR,31.4,27.017,Ptah & Sekhmet,19th,134.75,1,,-36.25,Umm el Rakhman
Lower Egypt,ZUR,31.4,27.017,West Chapels,19th,127.5,0.5,,-31.25,
Lower Egypt,ZUR,31.4,27.017,South Building,19th,42.25,0.5,b,39.25,
Lower Egypt,ZUR,31.4,27.017,Main gate,19th,44,0.5,,34,Of the fort
Lower Egypt,Buto,31.2,30.75,Uadjet,18th,248.5,0,B,-18.5,
Lower Egypt,Behebit el Haggar,31.033,31.283,Iseum,30th,298.25,0,B,23.75,Opposite -24.25. Error ∼2º
Lower Egypt,Mendes,30.967,31.517,Naos of Shu,26th,22,0,,52.25,Banebdjed Temple
Lower Egypt,Taposiris,30.95,29.517,Osiris,Ptolemaic,75.25,0,,12.25,
Lower Egypt,Tanis,30.833,31.867,Amon,21st -22nd,251.75,0,,-16,↓ Error › .5º
Lower Egypt,Tanis,30.833,31.867,Khonsu,30th,342,0,,54.25,
Lower Egypt,Tanis,30.833,31.867,Horus of Sile,22nd,161.75,0,b,-55.25,
Lower Egypt,Tanis,30.833,31.867,Horus of Mesen,30th,251.25,0,b,-16.25,
Lower Egypt,Tanis,30.833,31.867,Mut & Astarte,19th,341.75,0,,54,↑
Lower Egypt,Tanis,30.833,31.867,Amenemopet,22nd,90.75,0,,-1,
Lower Egypt,Bubastis,30.583,31.517,Ka of Pepi I,6th,119,0,b,-25,Opposite possible
Lower Egypt,Bubastis,30.583,31.517,Bastet,22nd,118.5,0,,-24.5,
Lower Egypt,Bubastis,30.583,31.517,Mihos,22nd,28.5,0,,48.5,Mostly ruined
Lower Egypt,Heliopolis,30.117,31.3,Ra-horakhty,12th,104.75,,B,-13,Senuseret obelisk
Lower Egypt,Heliopolis,30.117,31.3,Atum,12th,284.75,0,B,12.5,
Lower Egypt,Heliopolis,30.117,31.3,Ramses II,19th,101.25,,B,-10,⊥ also possible
Lower Egypt,Abu Roash,30.033,31.067,PT Djedefre,4th,90.75,0,,-1,⊥ to N also possible
Lower Egypt,Giza,29.983,31.133,PT Khufu,4th,90,0,,-0.25,
Lower Egypt,Giza,29.983,31.133,PT Khafre,4th,89.75,0,,0,
Lower Egypt,Giza,29.983,31.133,VT Khafre,4th,90.5,0,,-0.75,
Lower Egypt,Giza,29.983,31.133,Sphinx,4th,90.5,0,,-0.75,
Lower Egypt,Giza,29.983,31.133,PT Menkaure,4th,90.25,0,,-0.5,
Lower Egypt,Giza,29.983,31.133,Horemakhet,18th,224,14.5,,-28.5,
Lower Egypt,Giza,29.983,31.133,Isis,21st-26th,90.25,0,,-0.5,
Lower Egypt,Abu Ghurob,29.917,31.183,Solar T Userkaf,5th,90,0,,-0.25,
Lower Egypt,Abu Ghurob,29.917,31.183,VT Userkaf,5th,52,0.5,B,35.75,
Lower Egypt,Abu Ghurob,29.917,31.183,Solar T Niuserre,5th,91.25,0,,-1.25,
Lower Egypt,Abu Ghurob,29.917,31.183,Niuserre´s Altar,5th,90.75,0,,-1,
Lower Egypt,Abu Ghurob,29.917,31.183,VT Niuserre,5th,49.5,0.5,B,33.75,
Lower Egypt,Abusir,29.9,31.2,PT Sahure,5th,91.5,0,,-1.5,
Lower Egypt,Abusir,29.9,31.2,VT Sahure,5th,91,0.5,B,-0.75,
Lower Egypt,Abusir,29.9,31.2,PT Neferirkare,5th,90.25,0,,-0.5,
Lower Egypt,Abusir,29.9,31.2,PT Khentkaus,5th,90.25,0,,-0.5,“Mother of Two King”
Lower Egypt,Abusir,29.9,31.2,PT Neferefra,5th,92.25,0,,-2.25,
Lower Egypt,Abusir,29.9,31.2,PT Niuserre,5th,90.75,0,,-1,
Lower Egypt,Abusir,29.9,31.2,VT Niuserre,5th,95,0,,-4.5,
Lower Egypt,Abusir,29.9,31.2,Ptahshepses,5th,90.25,0,,-0.5,High official
Lower Egypt,Saqqara North,29.883,31.217,Djoser Gate,3rd,92.75,0,,-2.75,↓ Djoser complex
Lower Egypt,Saqqara North,29.883,31.217,North House,3rd,183.5,0,b,-60.5,
Lower Egypt,Saqqara North,29.883,31.217,South House,3rd,183.5,0,b,-60.5,
Lower Egypt,Saqqara North,29.883,31.217,North T Djoser,3rd,4,0,,59.25,
Lower Egypt,Saqqara North,29.883,31.217,Serdab Left,3rd,3.5,11.5,,71.25,
Lower Egypt,Saqqara North,29.883,31.217,Serdab Right,3rd,3.5,19.75,,79.25,↑
Lower Egypt,Saqqara North,29.883,31.217,PT Userkaf,5th,90.25,0.5,B,-0.25,
Lower Egypt,Saqqara North,29.883,31.217,South T Userkaf,5th,90.25,0.5,B,-0.25,
Lower Egypt,Saqqara North,29.883,31.217,PT Unas,5th,90.25,0.5,,-0.25,
Lower Egypt,Saqqara North,29.883,31.217,VT Unas,5th,93,0.5,,-2.25,
Lower Egypt,Saqqara North,29.883,31.217,PT Teti,6th,80.75,0.5,,8,Akhet at 8.5º
Lower Egypt,Saqqara North,29.883,31.217,Serapeum,18th,94,8.5,,0.75,
Lower Egypt,Saqqara North,29.883,31.217,Horemheb,18th,74.5,0,b,13,Million Year Temple
Lower Egypt,Saqqara North,29.883,31.217,Isis-Nectanebo II,30th,289.5,0.5,,17,Opposite (-16.75º)
Lower Egypt,Saqqara South,29.85,31.217,PT Shepseskaf,4th,90.5,0,,-0.75,
Lower Egypt,Saqqara South,29.85,31.217,PT Djedkare,5th,89.75,0.25,,0,
Lower Egypt,Saqqara South,29.85,31.217,PT Pepi I,6th,90.25,0.25,,-0.25,
Lower Egypt,Saqqara South,29.85,31.217,Chapel of Pepi I,6th,0.25,0,,59.5,
Lower Egypt,Saqqara South,29.85,31.217,PT Inti,6th,91,0.25,b,-1,Wife of Pepi I
Lower Egypt,Saqqara South,29.85,31.217,PT Ankhsenpepi,6th,91.25,0.25,b,-1.25,Wife of Pepi I
Lower Egypt,Saqqara South,29.85,31.217,PT Pepi II,6th,90,0,,-0.25,
Lower Egypt,Saqqara South,29.85,31.217,VT Pepi II,6th,85.5,0.5,,4,
Lower Egypt,Saqqara South,29.85,31.217,PT Iput II,6th,88.75,0,,0.75,Wife of Pepi II
Lower Egypt,Saqqara South,29.85,31.217,PT Ibi,8th,77,0.5,,11.25,
Lower Egypt,Memphis,29.85,31.25,Ptah,18th-19th,111,0,,-18.5,Eastern dromos
Lower Egypt,Memphis,29.85,31.25,Ptah,19th,291,0.5,,20,Western hall
Lower Egypt,Memphis,29.85,31.25,Sethy I,19th,101.5,0,,-10.25,
Lower Egypt,Memphis,29.85,31.25,Hathor,19th,7.5,0,B,58.75,
Lower Egypt,Dahshur,29.8,31.217,PT Sneferu S,4th,89.75,0,,0,
Lower Egypt,Dahshur,29.8,31.217,Statue T Sneferu,4th,92.5,1,,-1.5,Main gate
Lower Egypt,Dahshur,29.8,31.217,Statue T Sneferu,4th,239,5.5,,-23.5,Causeway gate
Lower Egypt,Dahshur,29.8,31.217,PT Sneferu N,4th,90,0,,-0.25,
Lower Egypt,Dahshur,29.8,31.217,ST Senuseret III,12th,91,0,,-1,
Lower Egypt,El Lisht,29.575,32.225,PT Amenemhat I,12th,91.75,0,,-1.25,
Lower Egypt,El Lisht,29.56,31.22,PT Senuseret I,12th,90.75,0,,-1,
Lower Egypt,Meidum,29.4,31.15,PT Sneferu,4th,94,0,,-3.75,Pyramid 359.75
Middle Egypt,Heracleopolis,29.083,30.933,Herishef,19th,201,0,B,-55.25,
Middle Egypt,Heracleopolis,29.083,30.933,Large Gate,22nd,194,0,B,-58.5,
Middle Egypt,Hermopolis,27.783,30.8,Thot,18th-30th,171.25,0,,-61.5,
Middle Egypt,Hermopolis,27.783,30.8,Ramses II - Nero,19th,359.75,0,,61.75,
Middle Egypt,Hermopolis,27.783,30.8,Sethy II,19th,82.25,0,,6.75,
Middle Egypt,Tuna el Gebel,27.75,30.7,Khemenu-pa-mek,Ptolemaic,3.75,0,,61.5,
Middle Egypt,Tuna el Gebel,27.75,30.7,Ibis,Ptolemaic,94.25,0,,-4,Catacombs
Middle Egypt,Tuna el Gebel,27.75,30.7,Petosiris Chapel,Ptolemaic,8.25,0,,60.5,
Middle Egypt,Tell el Amarna,27.667,30.9,Aton (large),18th,282.75,0,,11,Akhet at - 11º
Middle Egypt,Tell el Amarna,27.667,30.9,Aton (small),18th,283.25,0,,11.5,
Middle Egypt,Mons Claudianus,26.717,33.483,Serapis,Roman,160.5,6.25,,-52,
Middle Egypt,Mons Claudianus,26.717,33.483,“Isis” chapel,Roman,72.75,7.75,,18.75,
Middle Egypt,Mons Claudianus,26.717,33.483,Fort chapel,Roman,269.5,4.5,,1.5,
Middle Egypt,Athribis,26.5,31.667,Apries,26th,46.5,0,,37.75,
Middle Egypt,Athribis,26.5,31.667,Phiskon,Ptolemaic,50.5,0,,34.5,
Middle Egypt,Athribis,26.5,31.667,Auletes,Ptolemaic,135.5,0,,-40,
Middle Egypt,Athribis,26.5,31.667,Small chapel,Ptolemaic,314.5,0,,38.5,
Middle Egypt,Athribis,26.5,31.667,Dromos chapel,Roman,39.5,0,,43.25,
Middle Egypt,Athribis,26.5,31.667,Speos,Undated,35.5,0.5,,46.5,
Upper Egypt,Abydos,26.183,31.9,Shunet el-Zebit,2nd,46,0,,38.2,Khaseskhemwy
Upper Egypt,Abydos,26.183,31.9,Sinki,4th  ?,48.75,0,,36,
Upper Egypt,Abydos,26.183,31.9,Senuseret III,12th,26,0,,53.25,"∆a~±2º, ⊥ S → −23.5º"
Upper Egypt,Abydos,26.183,31.9,Ahmose A,18th,26.75,0,,52.75,⊥ S → −23.75º
Upper Egypt,Abydos,26.183,31.9,Ahmose B,18th,26.75,0,,52.75,Ibid.
Upper Egypt,Abydos,26.183,31.9,Nefertary C,18th,26.75,0,,52.75,Ibid.
Upper Egypt,Abydos,26.183,31.9,New temple D,18th,31.75,0,,49.25,⊥ S → −28.5º
Upper Egypt,Abydos,26.183,31.9,Tuthmose IV,18th,42,0,,41.5,
Upper Egypt,Abydos,26.183,31.9,Ramses I,19th,41.5,0,B,41.75,
Upper Egypt,Abydos,26.183,31.9,Monkey´s,19th,42.5,0,B,41,
Upper Egypt,Abydos,26.183,31.9,Ramesses II,19th,43.5,0,,40.25,
Upper Egypt,Abydos,26.183,31.9,Sethy I,19th,36,0,,46.25,Main axis
Upper Egypt,Abydos,26.183,31.9,,,306,4,,33.75,Osireion Gate
Upper Egypt,Abydos,26.183,31.9,Khentamentyu,20th,44.5,0,B,39.5,
Upper Egypt,Dendera,26.133,32.533,Hathor,Ptolemaic,18,1,,59,Main axis
Upper Egypt,Dendera,26.133,32.533,Mammisi II,Roman,108.5,3,+,-15.25,
Upper Egypt,Dendera,26.133,32.533,Mammisi I,30th,107.5,4.5,,-13.5,
Upper Egypt,Dendera,26.133,32.533,Isis,Ptolemaic,108,0,,-16.5,Temenos Gate
Upper Egypt,Dendera,26.133,32.533,"""",30th,112,3,+,-18.25,Old Axis
Upper Egypt,Dendera,26.133,32.533,"""",Roman,18,,B,58,High room
Upper Egypt,Qift,26.017,32.8,Min,18th,262,0,B+,-7.5,Main axis
Upper Egypt,Al-Qala’a,26,32.8,Claudius,Roman,88.5,0,B+,1,Main axis
Upper Egypt,Al-Qala’a,26,32.8,"""",,178,0,B+,-64.5,2nd axis
Upper Egypt,Naqada,25.967,32.733,Set,3rd or 18th ?,111.5,0,,-19.5,
Upper Egypt,Shenhur,25.867,32.783,Augustus,Roman,189.5,0,B+,-63,
Upper Egypt,Medamud,25.75,32.7,Montu,Ptolemaic,283,2.5,,12.75,To Djebel Thoth
Upper Egypt,Karnak,25.7,32.65,Amon (Main),12th-19th,296.75,3.5,,25.5,↓ Amon precinct
Upper Egypt,Karnak,25.7,32.65,Sun High Place,18th,116.75,0,,-24.25,
