Dec,Freq
-67.869,0.09
-67.568,0.132
-67.268,0.166
-66.969,0.191
-66.594,0.233
-66.368,0.263
-66.069,0.288
-65.621,0.317
-65.321,0.351
-65.022,0.376
-64.872,0.393
-64.721,0.418
-64.42,0.46
-64.268,0.494
-64.116,0.536
-63.965,0.561
-63.961,0.595
-63.734,0.646
-63.508,0.679
-63.356,0.722
-63.203,0.764
-63.051,0.797
-62.972,0.848
-62.745,0.89
-62.594,0.924
-62.442,0.957
-62.364,0.991
-62.288,1.016
-62.136,1.05
-61.836,1.084
-61.683,1.126
-61.383,1.16
-60.936,1.185
-60.492,1.176
-60.197,1.151
-59.83,1.117
-59.758,1.092
-59.615,1.041
-59.469,1.016
-59.324,0.982
-59.179,0.949
-59.033,0.923
-58.889,0.881
-58.743,0.856
-58.672,0.822
-58.454,0.78
-58.309,0.738
-58.017,0.696
-57.723,0.67
-57.279,0.654
-56.835,0.645
-56.536,0.67
-56.385,0.696
-56.234,0.721
-56.231,0.746
-56.081,0.771
-55.929,0.805
-55.925,0.839
-55.773,0.877
-55.622,0.906
-55.47,0.94
-55.317,0.991
-55.165,1.024
-55.089,1.049
-55.011,1.087
-54.859,1.125
-54.706,1.167
-54.404,1.218
-54.253,1.243
-53.954,1.268
-53.362,1.252
-52.922,1.201
-52.778,1.159
-52.634,1.117
-52.343,1.058
-52.199,1.016
-51.909,0.948
-51.765,0.898
-51.621,0.855
-51.476,0.822
-51.331,0.788
-51.186,0.754
-50.895,0.695
-50.751,0.653
-50.534,0.594
-50.393,0.527
-50.176,0.468
-49.884,0.417
-49.739,0.383
-49.296,0.366
-48.553,0.375
-47.957,0.4
-47.509,0.434
-47.209,0.467
-47.058,0.493
-46.831,0.535
-46.604,0.581
-46.303,0.627
-46.002,0.669
-45.701,0.712
-45.251,0.762
-45.024,0.8
-44.649,0.846
-44.274,0.884
-43.755,0.88
-43.311,0.872
-43.16,0.897
-42.86,0.93
-42.708,0.964
-42.708,0.964
-42.556,1.006
-42.329,1.048
-42.103,1.082
-41.803,1.116
-41.502,1.158
-41.351,1.192
-41.05,1.225
-40.898,1.267
-40.67,1.318
-40.593,1.352
-40.44,1.394
-40.138,1.453
-39.986,1.486
-39.759,1.537
-39.385,1.566
-38.792,1.562
-38.347,1.562
-37.901,1.562
-37.756,1.537
-37.536,1.511
-37.39,1.486
-37.245,1.452
-37.174,1.419
-37.03,1.377
-36.889,1.301
-36.885,1.334
-36.744,1.267
